# Program:featureCounts v2.0.4; Command:"featureCounts" "-s" "2" "-T" "2" "-p" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "allSamples.featureCounts.txt" "SRR24466374.bam" "SRR24466375.bam" "SRR24466376.bam" "SRR24466389.bam" "SRR24466391.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR24466374.bam	SRR24466375.bam	SRR24466376.bam	SRR24466389.bam	SRR24466391.bam
YDL198C	IV	103649	104551	-	903	5516	7450	9404	16951	11387
YDL120W	IV	245923	246447	+	525	1343	1698	1492	4065	2124
YDR379W	IV	1230167	1233196	+	3030	1731	2095	1582	4258	1964
YDL029W	IV;IV	399340;399485	399361;400638	+;+	1176	4141	6622	4581	16185	7930
YDR205W	IV	859346	861520	+	2175	988	1287	1031	2359	1388
YDR094W	IV	635840	636175	+	336	2	1	1	5	0
YDR369C	IV	1215016	1217580	-	2565	626	694	647	1650	814
YDR088C	IV	618497	619645	-	1149	901	955	827	2332	1194
YDR411C	IV	1293369	1294394	-	1026	2930	3792	2653	7776	4207
YDR441C	IV	1344517	1345062	-	546	417	591	553	1505	906
YDR446W	IV	1353725	1354633	+	909	6	10	14	22	8
YDL183C	IV	130871	131833	-	963	275	392	476	1024	801
YDR194W-A	IV	848071	848223	+	153	1	0	0	1	0
YDR114C	IV	681924	682226	-	303	21	16	18	54	29
YDR442W	IV	1345647	1346039	+	393	3	0	4	7	3
tK(CUU)D2	IV	1352466	1352538	-	73	0	0	0	0	0
YDL059C	IV	344237	344953	-	717	1487	759	520	2862	940
YDR016C	IV	478474	478758	-	285	12225	9972	11828	12412	7804
YDR430C	IV	1325501	1328470	-	2970	626	1106	655	2418	1109
YDR366C	IV	1212438	1212836	-	399	291	241	229	221	145
YDR374W-A	IV	1224757	1225026	+	270	8657	7557	7255	5848	4772
YDR293C	IV	1045640	1049392	-	3753	4290	7645	4432	11216	5863
YDR459C	IV	1382319	1383443	-	1125	1212	1576	1419	2117	1370
YDR022C	IV	488072	488662	-	591	440	719	417	1745	739
YDR217C	IV	899551	903480	-	3930	790	1070	943	1818	945
YDR052C	IV	558511	560625	-	2115	1632	1855	1635	4247	2306
YDL027C	IV	403695	404957	-	1263	2541	2904	2175	6422	3607
YDR104C	IV	661173	664910	-	3738	523	754	578	1527	765
YDL136W	IV;IV	217600;218008	217602;218367	+;+	363	12277	10950	16832	29425	14640
YDR248C	IV	957758	958339	-	582	5096	4666	4614	5311	2216
YDR078C	IV	602198	602869	-	672	2948	2252	2807	3071	2254
YDR068W	IV	583713	584645	+	933	7504	3587	5325	11456	4619
YDL080C	IV	310642	312471	-	1830	1022	1830	1324	3570	2043
YDR461C-A	IV	1385524	1385766	-	243	1312	792	787	1900	1017
YDR252W	IV	963412	963861	+	450	206	224	206	573	354
YDL046W	IV	371240	371761	+	522	4477	5688	4057	13106	6856
YDR540C	IV	1517136	1517675	-	540	561	623	570	952	561
YDR181C	IV	825910	827355	-	1446	1026	1069	877	2382	1271
YDL200C	IV	100501	101067	-	567	5234	3137	4477	5869	3584
YDR108W	IV	671269	673365	+	2097	783	860	913	1837	1154
YDR337W	IV	1146319	1147179	+	861	1290	1337	1037	3765	1944
YDR356W	IV	1186107	1188941	+	2835	1262	1752	1378	4033	2265
YDL235C	IV	33415	33918	-	504	3191	3397	3263	7811	4242
YDR320W-B	IV	1108484	1108621	+	138	37	29	33	37	49
YDL245C	IV	11657	13360	-	1704	0	0	0	2	2
YDR170W-A	IV	803195	804517	+	1323	97	265	244	380	229
YDR210W-B	IV	872112	877425	+	5314	82	118	100	254	112
YDR210C-D	IV	878659	883927	-	5269	104	154	132	342	116
YDR316W-B	IV	1096064	1101332	+	5269	5	11	21	73	21
YDR261C-D	IV	987534	992349	-	4816	634	715	747	2169	665
YDR210C-C	IV	882605	883927	-	1323	0	0	0	0	0
YDR261C-C	IV	991027	992349	-	1323	0	0	0	0	0
YDR261W-B	IV	981462	986775	+	5314	722	779	785	2128	738
YDR365W-A	IV	1206997	1208319	+	1323	0	0	0	0	0
YDR316W-A	IV	1096064	1097386	+	1323	0	0	0	0	0
YDR261W-A	IV	981462	982778	+	1317	0	0	0	0	0
YDR365W-B	IV	1206997	1212265	+	5269	49	121	162	269	153
YDR098C-B	IV	645858	651126	-	5269	81	97	64	209	78
YDR098C-A	IV	649804	651126	-	1323	0	0	0	0	0
YDR210W-A	IV	872112	873428	+	1317	0	0	0	0	0
YDR034C-D	IV	514043	519356	-	5314	217	368	268	626	257
YDR034C-C	IV	518040	519356	-	1317	0	0	0	0	0
YOR185C	XV	681444	682106	-	663	929	1387	496	4408	1919
YOR237W	XV	781994	783298	+	1305	62	37	34	133	34
YOL048C	XV;XV	240204;241026	240947;241310	-;-	1029	4216	5108	2694	11467	5051
tG(GCC)O1	XV	226611	226681	-	71	42	16	24	5	23
YOL144W	XV	53098	54552	+	1455	271	300	327	620	502
snR8	XV	832332	832521	+	190	450	521	696	902	1580
YOR082C	XV	479296	479637	-	342	4	0	2	32	30
YOL072W	XV	194970	196337	+	1368	443	572	427	1578	698
YOR114W	XV	537570	538454	+	885	482	532	386	1268	721
YOL085C	XV	161673	162014	-	342	6	9	16	74	19
YOR385W	XV	1065043	1065915	+	873	727	646	559	1783	812
YOR214C	XV	745593	746303	-	711	4	6	5	9	8
YOL119C	XV	94856	96361	-	1506	3048	5093	5239	8081	4906
YOR019W	XV	368127	370319	+	2193	443	659	479	1671	949
YOR206W	XV	727512	729644	+	2133	1839	1339	1626	3942	2285
YOR345C	XV	981812	982162	-	351	14	8	7	83	11
YOR341W	XV	960987	965981	+	4995	1761	1702	1838	3636	2515
YOL088C	XV	153912	154745	-	834	2879	3246	2616	5241	2788
YOR392W	XV	1079282	1079725	+	444	0	4	0	3	0
YOR160W	XV	633839	636757	+	2919	1115	1315	1035	2864	1626
YOR084W	XV	480587	481750	+	1164	431	557	437	1947	824
YOR039W	XV	405768	406544	+	777	1685	2098	1570	5001	2849
YOR264W	XV	818866	820158	+	1293	1145	1220	1032	3341	1925
YOR281C	XV	846269	847129	-	861	1260	1573	1376	4157	2211
tK(UUU)O	XV;XV	438643;438703	438679;438738	+;+	73	36	26	25	25	35
YOR230W	XV	770800	772113	+	1314	4750	6713	3711	29853	10372
YOR144C	XV	602717	605092	-	2376	416	567	462	962	592
YOL081W	XV	171070	180309	+	9240	6618	47303	10280	45680	8691
YOL052C	XV	232446	233636	-	1191	963	1070	1027	3949	2140
YOR285W	XV	849635	850054	+	420	28912	18926	18641	47184	18791
YOR058C	XV	433688	436345	-	2658	1181	1618	1012	2637	1323
YOR270C	XV	828052	830574	-	2523	14477	18880	15985	30524	16393
YOL154W	XV	34658	35407	+	750	245	213	289	1941	827
YOR115C	XV	538659	539465	-	807	13154	8297	12003	13033	7092
YOL003C	XV	321858	322994	-	1137	1040	1349	1014	1896	1197
YOR258W	XV	811671	812324	+	654	2659	1469	2758	3893	2014
tN(GUU)O2	XV	487439	487512	+	74	1	0	2	4	0
YOL103W	XV	124001	125830	+	1830	3450	4552	3739	4925	2817
YOR215C	XV	746725	747282	-	558	4541	2860	2702	7942	4029
YOL095C	XV	139227	141347	-	2121	471	538	509	1162	602
YOL063C	XV	207392	210265	-	2874	1004	1539	1178	2935	1423
YOL079W	XV	181057	181455	+	399	2	0	0	10	0
YOR389W	XV	1074213	1076087	+	1875	1186	1676	1403	1661	658
YOR231W	XV	772601	774127	+	1527	1256	1589	1180	2861	1715
YOR021C	XV	372798	373439	-	642	4625	2459	4388	6900	4493
YOR139C	XV	586950	587342	-	393	2	3	3	36	4
YOR120W	XV	551114	552052	+	939	1505	2426	1123	5457	2117
YOL038W	XV	255337	256101	+	765	3890	4844	3895	14150	5652
YOR023C	XV	376012	377712	-	1701	1142	1467	918	4083	1877
YOL124C	XV	85456	86757	-	1302	437	282	450	921	625
YOR212W	XV	742910	744181	+	1272	3191	3026	2985	8238	5770
YOL013W-A	XV	301047	301238	+	192	117	103	146	75	107
YOL120C	XV;XV	93395;94291	93843;94402	-;-	561	28490	35548	36882	85751	49321
YOR181W	XV	675939	677840	+	1902	707	903	764	3420	1681
YOR333C	XV	944541	944957	-	417	7	4	8	13	7
YOR335C	XV	946233	949109	-	2877	4542	4654	5018	11847	6228
YOL046C	XV	243466	244140	-	675	0	0	1	0	0
YOL029C	XV	269815	270420	-	606	495	549	510	1332	545
YOL155W-A	XV	27084	27218	+	135	0	0	0	1	0
YOR072W	XV	461502	461816	+	315	12	17	6	40	24
YOL161C	XV	11549	11911	-	363	0	2	0	0	0
snR58	XV	136088	136183	-	96	11	23	9	23	37
YOL122C	XV	89692	91419	-	1728	2127	2473	2056	3317	2033
YOR252W	XV	803667	804203	+	537	493	581	692	1084	858
YOR157C	XV	630966	631751	-	786	2726	4237	2550	12050	5611
YOL107W	XV	112102	113130	+	1029	1078	1002	654	2385	1187
YOR274W	XV	837674	838960	+	1287	881	810	675	1412	851
YOL013W-B	XV	300690	300980	+	291	20	2	7	6	18
YOR343C	XV	968148	968474	-	327	12	18	22	68	41
YOR093C	XV	497506	502452	-	4947	1925	1796	1668	3768	2044
YOR381W-A	XV	1058423	1058590	+	168	16	25	22	29	4
YOL065C	XV	204731	205885	-	1155	358	646	427	1475	864
YOR092W	XV	495127	496968	+	1842	9305	14143	10445	7216	3732
YOR207C	XV	730008	733457	-	3450	1241	1159	1186	2287	1590
YOR365C	XV	1023461	1025572	-	2112	173	124	144	128	109
YOL005C	XV	315813	316175	-	363	1359	1791	1320	4816	2391
YOL020W	XV	286172	287950	+	1779	2232	3091	3373	4235	3153
YOL053W	XV	230085	231272	+	1188	877	1299	777	3892	2073
YOL117W	XV	97551	99488	+	1938	730	803	577	2429	1155
YOR038C	XV	402761	405388	-	2628	1060	1226	1161	2630	1404
YOR303W	XV	882899	884134	+	1236	12517	13465	17965	30019	20143
YOR137C	XV	581813	583681	-	1869	1759	2449	1650	3356	2268
YOL034W	XV	259923	263204	+	3282	492	757	578	1187	705
YOR052C	XV	426772	427224	-	453	7716	4802	3757	25471	9505
YOR190W	XV	690695	692032	+	1338	404	286	294	446	212
YOL039W	XV	254297	254617	+	321	15691	19124	21251	50423	32550
YOR349W	XV	989789	992833	+	3045	318	341	217	944	497
YOL090W	XV	147382	150276	+	2895	2573	1909	1945	4713	2214
YOR271C	XV	831059	832042	-	984	1400	1567	1756	5728	2907
YOR173W	XV	657264	658325	+	1062	1445	1396	498	6661	3047
YOR106W	XV	519121	519972	+	852	502	584	410	1748	892
YOR108W	XV	523027	524841	+	1815	2499	2371	3195	7720	5319
YOR059C	XV	438906	440258	-	1353	1466	2315	1528	4183	1955
YOL149W	XV	44938	45633	+	696	3837	5024	4334	7310	4150
YOR121C	XV	551798	552103	-	306	376	179	398	321	288
YOL106W	XV	113226	113579	+	354	115	139	89	198	118
snR9	XV	407948	408134	-	187	1938	2068	1768	2147	2326
YOR295W	XV	869208	869894	+	687	444	564	467	1093	670
YOR203W	XV	722565	722918	+	354	99	96	93	106	109
YOR132W	XV	573175	574830	+	1656	1200	1810	1255	6445	3067
YOR216C	XV	747525	748979	-	1455	1016	1374	974	3138	1470
YOR099W	XV	511825	513006	+	1182	8697	10057	7008	14540	7373
YOR001W	XV	326832	329033	+	2202	873	961	897	2265	1476
YOR009W	XV	344335	345798	+	1464	153	187	143	675	274
YOR204W	XV	722911	724725	+	1815	3949	5263	4620	12140	4763
YOR209C	XV	736437	737726	-	1290	4031	4904	3982	11280	5753
YOR284W	XV	848478	849209	+	732	351	438	316	1105	457
YOR036W	XV	400348	401214	+	867	2335	1921	1822	4929	2135
YOR154W	XV	624729	626492	+	1764	1113	1411	1050	1840	1013
YOR048C	XV	418630	421650	-	3021	1193	1500	1406	2347	1501
YOL073C	XV	193832	194800	-	969	1382	1613	1289	3250	1612
YOL152W	XV	40748	42610	+	1863	20	18	15	69	22
YOL101C	XV	126982	127920	-	939	191	133	189	521	214
YOR085W	XV	482033	483085	+	1053	4162	5531	4271	9487	4971
YOR227W	XV	762825	766565	+	3741	3050	3419	2015	6645	2794
YOR159C	XV	633282	633566	-	285	3650	3053	3797	4851	3299
YOR146W	XV	605873	606178	+	306	4	0	2	0	6
YOR372C	XV	1034807	1036471	-	1665	2029	1963	1841	5497	3061
YOR112W	XV	531508	533793	+	2286	965	1301	1051	3099	1443
YOR387C	XV	1069621	1070241	-	621	4	8	2	7	3
YOR229W	XV	768409	769812	+	1404	533	682	704	1382	777
YOR068C	XV	453869	454213	-	345	1	2	5	14	0
YOR376W-A	XV	1045196	1045351	+	156	152	177	129	625	286
YOL050C	XV	237882	238202	-	321	2	6	0	12	3
YOR342C	XV	966666	967625	-	960	736	1026	742	1931	1149
YOL035C	XV	258803	259105	-	303	31	11	3	10	14
YOR251C	XV	802550	803464	-	915	1062	1396	1207	3540	1823
YOR041C	XV	408358	408789	-	432	33	9	14	82	27
YOR130C	XV	569929	570807	-	879	7866	5773	10962	10388	7940
YOR119C	XV	548792	550246	-	1455	480	521	441	1037	684
YOL166C	XV	1000	1338	-	339	0	0	0	0	1
YOR008C	XV	341278	342414	-	1137	4005	4776	3614	9005	4621
YOL011W	XV	305349	307409	+	2061	4653	6757	5006	9079	4655
YOR248W	XV	798013	798315	+	303	144	175	237	218	151
YOR202W	XV	721946	722608	+	663	2517	3257	4246	8734	4297
YOR266W	XV	821023	822294	+	1272	743	825	762	1607	838
YOR140W	XV	586981	589281	+	2301	432	728	544	1170	616
YOR004W	XV	333592	334356	+	765	517	436	767	896	872
YOR308C	XV	894624	896387	-	1764	286	501	343	853	396
YOR032C	XV	389771	391075	-	1305	165	214	63	399	100
YOR311C	XV	899056	899928	-	873	2486	3436	2961	4889	2924
YOL019W	XV	288898	290553	+	1656	1528	1910	1388	2687	1256
YOL138C	XV	61325	65350	-	4026	540	920	685	1615	769
YOL151W	XV	43694	44722	+	1029	1234	1681	861	6398	2456
YOR330C	XV	939621	943385	-	3765	1336	1925	1664	3641	1748
YOR379C	XV	1050726	1051064	-	339	13	32	30	33	40
YOR142W	XV	593057	594046	+	990	3193	3733	2470	11509	5238
YOR268C	XV	825534	825932	-	399	0	5	2	2	5
snR81	XV	234346	234546	+	201	148	256	312	337	377
YOR017W	XV	361412	363814	+	2403	802	949	721	2179	1320
YOR394W	XV	1082718	1083212	+	495	0	0	0	0	0
YOL134C	XV	70156	70545	-	390	1	0	6	0	4
YOR002W	XV	329417	331051	+	1635	3302	4682	3633	6883	3634
YOR194C	XV	711683	712543	-	861	1855	1920	1531	4976	2521
YOR298C-A	XV	877230	877685	-	456	37541	35744	29659	134788	43176
YOL069W	XV	198942	200297	+	1356	819	1100	1064	2310	1271
YOR014W	XV	357674	359947	+	2274	2999	5017	3418	9202	5568
YOR346W	XV	981828	984785	+	2958	1681	1630	1727	2866	1605
YOR044W	XV	413007	413480	+	474	11031	4210	10322	14033	5766
YOR275C	XV	839084	841069	-	1986	1195	1931	1361	3873	1858
YOR174W	XV	658747	659601	+	855	1389	1485	1398	3220	1533
YOR336W	XV	949773	953870	+	4098	1694	3130	1637	2931	1690
YOL094C	XV	141584	142555	-	972	796	869	771	2459	1305
YOR122C	XV;XV	552298;552875	552665;552887	-;-	381	32429	25670	33808	52070	27478
YOR256C	XV	808254	810683	-	2430	2353	3040	2025	4326	2343
YOL137W	XV	65621	67114	+	1494	1467	1761	1531	2445	1422
YOR350C	XV	992864	994855	-	1992	1099	2276	1509	2943	1844
YOR196C	XV	715593	716837	-	1245	1178	1547	1578	3622	1999
YOR380W	XV	1051290	1052930	+	1641	602	804	648	1657	940
YOR314W-A	XV	904458	904568	+	111	9	1	5	17	5
tA(UGC)O	XV	854187	854259	-	73	0	0	2	0	8
YOL097W-A	XV	136220	136405	+	186	336	134	349	290	226
YOR376W	XV	1043191	1043559	+	369	0	0	0	4	0
YOR369C	XV	1028194	1028625	-	432	113819	73336	130306	184697	111413
YOL132W	XV	71300	72715	+	1416	131	104	146	196	85
YOR296W	XV	870202	874071	+	3870	786	1112	799	1911	1116
YOR260W	XV	813984	815720	+	1737	2044	2050	2035	4808	2789
YOR373W	XV	1036834	1039389	+	2556	655	833	855	1932	1133
YOR163W	XV	642741	643307	+	567	1178	2016	1119	5133	2376
YOR029W	XV	384600	384935	+	336	2	0	0	0	0
YOL042W	XV	249825	250916	+	1092	1507	2901	2199	4461	2713
YOR316C	XV	906236	907555	-	1320	3262	4864	2890	6325	3619
YOR326W	XV	925721	930445	+	4725	4822	6006	4709	12748	6128
YOR293C-A	XV	867998	868147	-	150	31	33	28	6	13
YOL036W	XV	256745	259030	+	2286	1796	2863	2257	5800	2480
YOR072W-B	XV	464469	464630	+	162	0	0	0	0	0
YOR332W	XV	943656	944357	+	702	9721	12335	8778	42410	17761
YOL002C	XV	323411	324364	-	954	1913	2219	1767	3589	1905
YOR193W	XV	710446	711576	+	1131	1127	1118	1069	3226	2019
YOR243C	XV	790211	792241	-	2031	1022	1443	1390	2175	2176
YOR126C	XV	559961	560677	-	717	745	712	690	1698	942
YOR070C	XV	455907	457820	-	1914	941	1308	1130	3841	2030
YOR328W	XV	931803	936497	+	4695	365	562	561	884	619
YOL056W	XV	223268	224179	+	912	1417	1449	1587	2860	1438
YOR098C	XV	507948	511178	-	3231	1108	1653	1273	3124	1613
YOL110W	XV	109176	109889	+	714	513	545	550	1200	654
YOR213C	XV	744535	745281	-	747	694	784	959	1383	911
YOR253W	XV	804377	804907	+	531	12117	8368	13975	11492	7665
YOR008C-A	XV	342857	343081	-	225	0	3	0	4	5
YOL113W	XV	104326	106293	+	1968	1927	2627	1958	5065	3130
YOR060C	XV	440390	441163	-	774	398	504	375	1012	641
YOL076W	XV	187024	189414	+	2391	2518	1901	2280	3565	1983
YOR186C-A	XV	683329	683538	-	210	3	4	8	153	92
YOR381W	XV	1055545	1057680	+	2136	689	964	784	1183	694
YOR113W	XV	534075	536819	+	2745	744	1087	909	2783	1595
YOR273C	XV	834452	836431	-	1980	6894	5838	2614	16118	6051
tN(GUU)O1	XV	228331	228404	+	74	4	0	0	0	0
YOR161W-A	XV	637574	637654	+	81	2	14	11	12	4
YOL147C	XV	47933	48643	-	711	699	709	727	2176	1094
YOR338W	XV	956898	957989	+	1092	297	387	321	337	206
YOR178C	XV	667860	670241	-	2382	193	348	88	1627	1110
YOR188W	XV	685767	689180	+	3414	771	870	882	1625	940
YOL159C	XV	17281	17796	-	516	712	1025	766	1267	779
YOR382W	XV	1059531	1059992	+	462	1828	1100	610	2111	630
YOL071W	XV	196507	196995	+	489	732	988	631	2538	1256
YOR363C	XV	1020222	1023212	-	2991	922	1582	893	2497	1305
YOR069W	XV	453768	455795	+	2028	1798	1973	1622	5074	2386
YOR075W	XV	468212	469252	+	1041	3839	2080	2650	6522	2512
YOR124C	XV	554824	558642	-	3819	2703	3144	2223	7350	3111
YOR008W-B	XV	343929	344030	+	102	30	23	29	51	18
snR31	XV	841958	842182	-	225	4377	3609	4990	3635	3751
YOL025W	XV	274957	276939	+	1983	627	887	809	2073	1081
YOR057W	XV	432186	433373	+	1188	1024	1535	1050	3470	1655
YOR265W	XV	820454	820774	+	321	2272	2177	1757	3646	2136
YOL127W	XV;XV	80348;80775	80360;81190	+;+	429	41407	45940	53478	141666	77927
YOR107W	XV	521353	522282	+	930	631	1137	803	1045	506
YOL142W	XV	55558	56280	+	723	1066	1049	1306	2870	1681
YOR239W	XV;XV	784857;785689	785687;786744	+;+	1887	2170	2531	2434	7049	4151
YOL091W	XV	145334	147163	+	1830	493	416	386	546	322
YOR317W	XV	909343	911445	+	2103	12403	11474	7985	49971	19509
YOR370C	XV	1029183	1030994	-	1812	2890	3085	3113	7445	3830
tM(CAU)O1	XV	710201	710272	+	72	3	13	10	8	10
YOR211C	XV	738924	741569	-	2646	931	1156	814	2664	1355
YOR191W	XV	692475	697334	+	4860	1493	2810	1763	4514	2093
YOL064C	XV	206103	207176	-	1074	5613	5885	5175	16101	6553
tT(AGU)O1	XV	113802	113874	+	73	4	2	0	0	3
YOL049W	XV	238619	240094	+	1476	3078	3308	2732	8635	4313
YOL043C	XV	248392	249534	-	1143	569	799	648	1423	634
YOR043W	XV	410870	412330	+	1461	3186	3912	3552	8635	4573
YOR331C	XV	943565	944122	-	558	0	13	9	5	15
YOR309C	XV	896698	897078	-	381	108	69	122	253	147
YOR104W	XV	517642	518490	+	849	498	793	649	1050	743
YOL114C	XV	103317	103925	-	609	305	375	289	883	512
YOR300W	XV	880575	880883	+	309	3	1	0	20	4
YOR220W	XV	755328	756125	+	798	4218	3926	2829	10560	4270
YOR378W	XV	1049511	1051058	+	1548	34	26	27	72	57
YOL059W	XV	217126	218448	+	1323	3431	8983	7770	19456	10394
YOR386W	XV	1066839	1068536	+	1698	600	787	470	2488	1251
YOL027C	XV	272003	273724	-	1722	1688	2258	2325	6066	3079
snR62	XV	409765	409864	-	100	667	553	782	390	610
snR17a	XV;XV	780107;780278	780120;780596	+;+	333	238	283	283	536	381
YOL155C	XV	28703	31606	-	2904	1316	1261	677	2244	683
YOR375C	XV	1041678	1043042	-	1365	18424	14685	12001	79402	29802
snR35	XV	759326	759529	-	204	345	317	380	1044	1204
YOR100C	XV	513295	514278	-	984	54	60	37	238	114
YOL026C	XV	274012	274353	-	342	1254	1354	1402	3295	1768
YOL012C	XV	303579	303983	-	405	2255	3144	2461	7938	4703
YOR026W	XV	379781	380806	+	1026	1006	843	789	2572	1191
YOR359W	XV	1011189	1012760	+	1572	331	541	330	625	313
YOR250C	XV	800970	802307	-	1338	428	627	495	1954	1026
YOL013C	XV	301380	303035	-	1656	2135	2614	1839	4812	2711
YOR272W	XV	832813	834195	+	1383	504	494	591	1487	1084
tG(GCC)O2	XV	282164	282234	+	71	20	20	34	21	18
YOL164W-A	XV	4130	4312	+	183	0	0	0	0	0
YOL082W	XV	168727	169974	+	1248	1990	2348	1344	7196	3315
snR36	XV	680685	680866	-	182	383	340	486	337	377
YOR035C	XV	397735	400104	-	2370	720	1107	752	2943	1503
YOL016C	XV	294777	296120	-	1344	4509	3218	2184	13306	5120
YOR007C	XV	338938	339978	-	1041	10326	16507	10523	49265	17182
YOR325W	XV	924577	925050	+	474	1	4	4	1	0
YOL085W-A	XV	161579	161791	+	213	42	39	30	492	201
YOL160W	XV	14313	14654	+	342	14	8	16	18	14
YOR361C	XV	1015361	1017652	-	2292	4545	4414	4823	15095	8018
YOL158C	XV	19491	21311	-	1821	2111	2073	1966	4042	3001
YOR315W	XV	904760	905800	+	1041	2647	3263	3014	5913	3175
YOR010C	XV	346195	346950	-	756	246	456	306	1042	326
YOR384W	XV	1061564	1063648	+	2085	68	30	26	27	16
YOR234C	XV;XV	778555;779387	778859;779405	-;-	324	31609	17384	31725	48955	23574
YOR283W	XV	847453	848145	+	693	2878	2014	2711	4889	2465
YOR020W-A	XV	371685	371957	+	273	5290	3759	2839	8025	3225
YOL045W	XV	243497	246802	+	3306	2237	1988	2041	4217	2244
YOR102W	XV	516423	516773	+	351	17	6	8	11	18
YOL128C	XV	78352	79479	-	1128	369	363	324	821	441
YOR360C	XV	1013241	1014821	-	1581	2408	2926	2297	4962	2323
YOL097C	XV	136527	137825	-	1299	3619	3953	4321	13551	7341
YOR164C	XV	643394	644332	-	939	2320	2456	2195	6752	3469
YOR175C	XV	659815	661674	-	1860	5724	6048	4526	11095	4908
tP(UGG)O1	XV;XV	301097;301163	301132;301198	+;+	72	0	0	0	0	0
YOR086C	XV	483219	486779	-	3561	7319	8748	5536	11293	6168
YOR242C	XV	788742	789857	-	1116	252	167	150	287	151
YOR155C	XV	626628	627980	-	1353	1530	1974	1242	4685	2445
YOL019W-A	XV	288420	288572	+	153	0	0	0	5	1
YOL030W	XV	268187	269641	+	1455	7605	8487	5769	19597	9047
YOR323C	XV	921535	922905	-	1371	3527	4686	4398	12726	6168
YOL017W	XV	292529	294673	+	2145	426	352	347	1100	549
YOR233W	XV	775846	778248	+	2403	706	910	845	1491	812
YOL037C	XV	256666	257019	-	354	13	26	26	28	7
YOR083W	XV	479533	480420	+	888	289	344	308	1095	666
YOL010W	XV	307938	309041	+	1104	403	420	383	1187	678
YOR118W	XV	546857	548560	+	1704	1832	2010	1949	3580	1975
YOR128C	XV	564476	566191	-	1716	3599	3630	2815	15467	6689
YOL125W	XV	83834	85264	+	1431	451	583	686	1227	733
YOL004W	XV	316938	321548	+	4611	2471	3106	2390	7627	3725
YOR177C	XV	665785	667179	-	1395	156	138	149	317	174
YOR166C	XV	647126	648502	-	1377	1473	1475	1490	3315	1733
YOR006C	XV	337680	338621	-	942	1060	1052	992	2262	1287
YOR324C	XV	923232	925040	-	1809	706	1162	850	1987	1217
YOL024W	XV	277086	277604	+	519	33	28	17	58	34
YOR033C	XV	392416	394524	-	2109	1110	1059	724	2739	1378
YOL033W	XV	263475	265085	+	1611	1025	872	926	2021	1009
YOL070C	XV	197220	198725	-	1506	1412	1539	1088	3650	1577
YOR116C	XV	539763	544145	-	4383	1519	2037	1505	2921	1504
YOL067C	XV	201985	202518	-	534	228	518	409	786	538
YOR145C	XV	605347	606171	-	825	918	1062	1154	2386	1795
YOR304C-A	XV	888520	888750	-	231	558	728	610	1479	821
YOR192C	XV	698768	700567	-	1800	162	395	281	514	274
YOL109W	XV	110297	110638	+	342	495317	319226	413086	421322	295288
YOR078W	XV	472725	473369	+	645	1040	1043	1085	1972	1204
YOR134W	XV	578564	579793	+	1230	12	7	14	73	30
YOR131C	XV	572182	572838	-	657	1602	1781	1532	4714	2032
YOR368W	XV	1026843	1028048	+	1206	702	877	570	1777	950
YOL111C	XV	108258	108896	-	639	1687	2109	1751	6351	3136
YOR168W	XV	649303	651732	+	2430	4387	3190	4213	12036	6157
YOR226C	XV	761614	762084	-	471	966	1273	940	3905	2504
YOL162W	XV	10119	10766	+	648	75	32	27	79	40
YOR334W	XV	944596	946008	+	1413	449	691	489	1034	579
YOR241W	XV	786995	788641	+	1647	1983	2035	2089	5060	2548
tP(UGG)O2	XV;XV	464450;464516	464485;464551	+;+	72	0	0	0	0	0
YOR245C	XV	794076	795332	-	1257	2637	3152	2462	5627	2970
YOL009C	XV	309324	310139	-	816	534	717	551	1608	839
YOR153W	XV	619840	624375	+	4536	10374	5861	5993	23940	8177
YOR358W	XV	1010161	1010889	+	729	262	564	346	1343	658
YOR335W-A	XV	946568	946648	+	81	0	0	0	0	0
YOR170W	XV	651858	652163	+	306	2	0	3	5	2
YOR267C	XV	822588	824867	-	2280	5403	8673	6653	17105	6053
YOR081C	XV	476939	479188	-	2250	1141	1452	1037	4269	1997
YOL145C	XV	49555	52788	-	3234	2309	2699	2063	5365	2830
YOL156W	XV	25273	26976	+	1704	9	12	9	34	28
YOR322C	XV	918606	921062	-	2457	1219	1625	1377	3179	1876
YOL044W	XV	247150	248301	+	1152	499	728	590	1528	1046
YOR054C	XV	427833	429857	-	2025	2496	2965	1997	6963	3070
YOL031C	XV	266264	267529	-	1266	1524	1913	1298	3487	1647
YOR034C-A	XV	397426	397668	-	243	60	82	55	139	118
YOR306C	XV	889867	891432	-	1566	587	738	537	1183	473
YOR261C	XV	815915	816931	-	1017	25556	21275	23741	36013	17933
YOR293W	XV;XV	867098;867587	867149;867852	+;+	318	264798	104652	250685	280787	162450
YOR062C	XV	442725	443531	-	807	1293	1374	773	5271	3341
YOR339C	XV	958362	958832	-	471	126	77	172	132	93
YOR067C	XV	451729	453462	-	1734	2975	3422	2721	4355	2966
YOR312C	XV	900250	900767	-	518	31102	25279	36005	74471	35512
YOR094W	XV	502795	503346	+	552	949	858	897	2210	1111
YOL135C	XV	69376	70044	-	669	357	676	463	1747	853
YOL105C	XV	114138	115808	-	1671	1166	1356	1269	3038	1521
YOR329W-A	XV	939348	939557	+	210	8	14	6	9	5
